Port_Lincoln	isLocatedIn Australia
Calhoun_County,_Iowa	isLocatedIn	Iowa
Walter_Meeuws	playsFor	Club_Brugge_KV
Walter_Meeuws	isAffiliatedTo	K.S.K._Beveren
Camille_Abily	playsFor	Montpellier_HSC_(Ladies)
Camille_Abily	isAffiliatedTo	France_women's_national_football_team
Camille_Abily	hasGender	female
Camille_Abily	wasBornIn	Rennes
Solano_County,_California	isLocatedIn	California
East_Carolina_University	isLocatedIn	Greenville,_North_Carolina
Chhindwara_district	isLocatedIn	Madhya_Pradesh
Dolly_Parton	hasMusicalRole	wordnet_drum_103249569
Rubén_Blades	hasWonPrize	Grammy_Award
Rubén_Blades	hasMusicalRole	wordnet_vocal_music_107282006
Rubén_Blades	livesIn	Panama_City
Rubén_Blades	wasBornIn	Panama_City
Rubén_Blades	isPoliticianOf	Panama
Rubén_Blades	hasGender	male
Gmina_Gniewkowo	isLocatedIn	Kuyavian-Pomeranian_Voivodeship
Meppel	isLocatedIn	Drenthe
Mina_(singer)	hasGender	female
Mina_(singer)	wasBornIn	Busto_Arsizio
Curtis_LeMay	hasGender	male
Curtis_LeMay	hasWonPrize	Croix_de_guerre_(Belgium)
Curtis_LeMay	wasBornIn	Columbus,_Ohio
Dan_Castellaneta	wasBornIn	Oak_Park
Dan_Castellaneta	livesIn	Los_Angeles
Dan_Castellaneta	graduatedFrom	Northern_Illinois_University
Dan_Castellaneta	hasWonPrize	Emmy_Award
Dan_Castellaneta	actedIn	The_Simpsons_Movie
Dan_Castellaneta	hasGender	male
Ömer_Erdoğan	isAffiliatedTo	FC_St._Pauli
Ömer_Erdoğan	playsFor	KSV_Hessen_Kassel
Ömer_Erdoğan	wasBornIn	Kassel
Ömer_Erdoğan	hasGender	male
Hergé	hasGender	male
Hong_Kong_08	isLocatedIn	Hong_Kong
Daniel_Pudil	playsFor	A.C._Cesena
Daniel_Pudil	isAffiliatedTo	AC_Sparta_Prague
Daniel_Pudil	wasBornIn	Prague
Djibouti	hasNeighbor	Ethiopia
Djibouti	dealsWith	Yemen
Djibouti	participatedIn	Ethio-Somali_War
Djibouti	hasCapital	Djibouti_(city)
Djibouti	imports	wordnet_chemical_114806838
Djibouti	hasOfficialLanguage	Arabic_language
Terence_Fisher	wasBornIn	London
Terence_Fisher	hasGender	male
Kalispell,_Montana	isLocatedIn	United_States
Davide_Xausa	isAffiliatedTo	Inverness_Caledonian_Thistle_F.C.
Davide_Xausa	playsFor	Inverness_Caledonian_Thistle_F.C.
Davide_Xausa	wasBornIn	Vancouver
Pčinja_District	isLocatedIn	Vranje
Vila_Flor	isLocatedIn	Norte_Region,_Portugal
Mark_Bridge	isAffiliatedTo	Australia_national_football_team
Mark_Bridge	wasBornIn	Sydney
Mark_Bridge	playsFor	Australia_national_under-23_association_football_team
Mark_Bridge	hasGender	male
Ian_Bishop_(footballer)	isAffiliatedTo	A.F.C._Bournemouth
Ian_Bishop_(footballer)	wasBornIn	Liverpool
Ian_Bishop_(footballer)	playsFor	Rochdale_A.F.C.
Ian_Bishop_(footballer)	hasGender	male
Stuart_Baxter	isAffiliatedTo	AIK_Solna
Stuart_Baxter	playsFor	Stockport_County_F.C.
Stuart_Baxter	wasBornIn	Wolverhampton
David_Campbell_(footballer)	playsFor	Cambridge_United_F.C.
David_Campbell_(footballer)	isAffiliatedTo	Cliftonville_F.C.
Will_Self	hasGender	male
Florian_Myrtaj	isAffiliatedTo	U.S._Arezzo
Florian_Myrtaj	playsFor	U.S._Catanzaro_1929
Florian_Myrtaj	hasGender	male
Mark_Robertson	playsFor	FC_Sopron
Mark_Robertson	isAffiliatedTo	Australia_national_under-23_association_football_team
Mark_Robertson	hasGender	male
Kavango_Region	isLocatedIn	Namibia
Mount_Rainier	isLocatedIn	United_States
Jintara_Poonlarp	hasGender	female
Keighley	isLocatedIn	England
Audru_Parish	isLocatedIn	Estonia
Hakan_Hayrettin	isAffiliatedTo	Heybridge_Swifts_F.C.
Hakan_Hayrettin	playsFor	Peterborough_United_F.C.
Hakan_Hayrettin	wasBornIn	London
Hakan_Hayrettin	hasGender	male
Kate_Ryan	hasWonPrize	World_Music_Awards
Kate_Ryan	hasMusicalRole	wordnet_guitar_103467517
Ford_County,_Kansas	isLocatedIn	Kansas
Finland	participatedIn	Operation_Barbarossa
Finland	hasCurrency	Euro_sign
Finland	dealsWith	Sweden
Finland	imports	wordnet_machinery_103701640
Finland	hasNeighbor	Sweden
Finland	exports	wordnet_chemical_114806838
Finland	isLocatedIn	Europe
Finland	owns	European_Space_Agency
Rod_Serling	diedIn	Rochester,_New_York
Rod_Serling	graduatedFrom	Antioch_College
Rod_Serling	hasWonPrize	Hugo_Award
Rod_Serling	wasBornIn	Syracuse,_New_York
Rod_Serling	isCitizenOf	United_States
Rod_Serling	hasGender	male
Jean-Louis_Borloo	wasBornIn	Paris
Jean-Louis_Borloo	isAffiliatedTo	Union_for_a_Popular_Movement
Jean-Louis_Borloo	hasChild	Éric_Besson
Jean-Louis_Borloo	isPoliticianOf	France
Jean-Louis_Borloo	hasGender	male
Jean-Louis_Borloo	graduatedFrom	Paris_West_University_Nanterre_La_Défense
Lawrence_County,_Ohio	isLocatedIn	Ironton,_Ohio
George_Papandreou	playsFor	Jomo_Cosmos_F.C.
George_Papandreou	hasWonPrize	Order_of_Prince_Yaroslav_the_Wise
George_Papandreou	wasBornIn	Saint_Paul,_Minnesota
George_Papandreou	hasGender	male
George_Papandreou	isAffiliatedTo	Panhellenic_Socialist_Movement
George_Papandreou	isPoliticianOf	Greece
George_Papandreou	graduatedFrom	Amherst_College
Manitowoc,_Wisconsin	isLocatedIn	Wisconsin
Mestre	isLocatedIn	Italy
Pius_Ikedia	isAffiliatedTo	FC_Metalurh_Donetsk
Pius_Ikedia	wasBornIn	Lagos
Pius_Ikedia	playsFor	Bendel_Insurance_F.C.
Pius_Ikedia	hasGender	male
Diego_Latorre	isAffiliatedTo	C.A._Rosario_Central
Diego_Latorre	wasBornIn	Buenos_Aires
Diego_Latorre	playsFor	Boca_Juniors
Diego_Latorre	hasGender	male
Massimo_Coda	playsFor	Atletico_Roma_F.C.
Massimo_Coda	isAffiliatedTo	S.C._Siracusa
Massimo_Coda	wasBornIn	Cava_de'_Tirreni
Massimo_Coda	hasGender	male
Gúdar-Javalambre	isLocatedIn	Province_of_Teruel
Jewish_Autonomous_Oblast	isLocatedIn	Far_Eastern_Federal_District
Tomasz_Cebula	isAffiliatedTo	Poland_national_football_team
Tomasz_Cebula	playsFor	Igloopol_Dębica
Mason_City,_Iowa	isLocatedIn	Cerro_Gordo_County,_Iowa
Carsten_Sträßer	playsFor	1._FC_Union_Berlin
Carsten_Sträßer	hasGender	male
Carsten_Sträßer	isAffiliatedTo	FC_Erzgebirge_Aue
Carsten_Sträßer	wasBornIn	East_Berlin
New_York_City	isLocatedIn	Queens
New_York_City	owns	John_F._Kennedy_International_Airport
Derrick_Obasohan	isAffiliatedTo	Liga_Portuguesa_de_Basquetebol
Derrick_Obasohan	wasBornIn	Houston
Derrick_Obasohan	hasGender	male
South_Korea	isLocatedIn	Asia
South_Korea	dealsWith	Japan
South_Korea	participatedIn	International_Force_for_East_Timor
South_Korea	exports	wordnet_computer_103082979
South_Korea	hasNeighbor	North_Korea
South_Korea	hasCapital	Seoul
South_Korea	imports	wordnet_machinery_103701640
Rovereto	isLocatedIn	Province_of_Trento
Jammerbugt_Municipality	isLocatedIn	North_Denmark_Region
Niklas_Sandberg	playsFor	Stabæk_Fotball
Niklas_Sandberg	isAffiliatedTo	AIK_Solna
Niklas_Sandberg	hasGender	male
Niklas_Sandberg	wasBornIn	Stockholm
John_Tobias	wasBornIn	Chicago
John_Tobias	hasGender	male
Barisan_Nasional	isLocatedIn	Kuala_Lumpur
Nantong_Xingdong_Airport	isConnectedTo	Chongqing_Jiangbei_International_Airport
Nantong_Xingdong_Airport	isLocatedIn	Jiangsu
M._S._Swaminathan	isCitizenOf	India
M._S._Swaminathan	hasWonPrize	Padma_Bhushan
M._S._Swaminathan	wasBornIn	Kumbakonam
M._S._Swaminathan	hasGender	male
M._S._Swaminathan	graduatedFrom	University_of_Wisconsin–Madison
M._S._Swaminathan	livesIn	Chennai
Jeannette,_Pennsylvania	isLocatedIn	Pennsylvania
Alexander_Haig	hasWonPrize	Air_Medal
Alexander_Haig	isAffiliatedTo	Republican_Party_(United_States)
Alexander_Haig	diedIn	Baltimore
Alexander_Haig	graduatedFrom	Columbia_Business_School
Alexander_Haig	wasBornIn	Philadelphia
Alexander_Haig	hasGender	male
Varzim_S.C.	isLocatedIn	Póvoa_de_Varzim
Jerzy_Skolimowski	wasBornIn	Łódź
Jerzy_Skolimowski	hasGender	male
Myrna_Loy	hasGender	female
Myrna_Loy	wasBornIn	Helena,_Montana
France	participatedIn	Russian_Civil_War
France	hasCapital	Rouen
France	hasOfficialLanguage	French_language
France	isLocatedIn	North_America
France	exports	wordnet_chemical_114806838
France	owns	European_Space_Agency
France	imports	wordnet_petroleum_114980579
France	hasNeighbor	Suriname
Montargis	isLocatedIn	Centre_region,_France
Carlos_Orejuela	isAffiliatedTo	Total_Chalaco
Carlos_Orejuela	playsFor	Sport_Boys
Carlos_Orejuela	wasBornIn	Lima
Rinaldo_Cruzado	isAffiliatedTo	A.C._Chievo_Verona
Rinaldo_Cruzado	playsFor	Grasshopper_Club_Zürich
Rinaldo_Cruzado	hasGender	male
Rinaldo_Cruzado	wasBornIn	Lima
Rudi_Strittich	isAffiliatedTo	Viborg_FF
Rudi_Strittich	hasGender	male
Rudi_Strittich	playsFor	Unión_Magdalena
Hampshire	isLocatedIn	South_East_England
Gábor_Korolovszky	isAffiliatedTo	MTK_Budapest_FC
Gábor_Korolovszky	playsFor	BKV_Előre_SC
Gábor_Korolovszky	hasGender	male
Gábor_Korolovszky	wasBornIn	Budapest
Tomasz_Rząsa	playsFor	Grasshopper_Club_Zürich
Tomasz_Rząsa	isAffiliatedTo	F.K._Partizan
Tomasz_Rząsa	wasBornIn	Kraków
Tomasz_Rząsa	hasGender	male
Rodrigo_Arroz	playsFor	FC_UTA_Arad
Rodrigo_Arroz	isAffiliatedTo	C.F._Os_Belenenses
Rodrigo_Arroz	hasGender	male
South_Africa	participatedIn	Namibian_War_of_Independence
South_Africa	dealsWith	India
South_Africa	hasNeighbor	Swaziland
South_Africa	exports	wordnet_gold_113371760
South_Africa	hasCapital	Bloemfontein
South_Africa	hasCurrency	South_African_rand
South_Africa	imports	wordnet_foodstuff_107566340
Luxembourg	participatedIn	Korean_War
Luxembourg	hasOfficialLanguage	German_language
Luxembourg	hasNeighbor	Belgium
Luxembourg	isLocatedIn	Europe
Luxembourg	hasCurrency	Euro_sign
Luxembourg	hasCapital	Luxembourg_(city)
Luxembourg	imports	wordnet_foodstuff_107566340
Luxembourg	owns	European_Space_Agency
Fred_Frith	hasMusicalRole	wordnet_bass_guitar_102804123
Fred_Frith	hasGender	male
Orangeburg,_South_Carolina	isLocatedIn	Orangeburg_County,_South_Carolina
Ramla	isLocatedIn	Central_District_(Israel)
Emily_Dickinson	influences	Theodore_Roethke
Emily_Dickinson	hasGender	female
Bisbee,_Arizona	isLocatedIn	United_States
Romania	isLocatedIn	Europe
Romania	dealsWith	Ottoman_Empire
Romania	participatedIn	Operation_Atalanta
Romania	owns	Sport_Klub
Romania	hasCapital	Bucharest
Romania	hasNeighbor	Czechoslovakia
Rachael_Leigh_Cook	hasGender	female
Gmina_Sokołów_Podlaski	isLocatedIn	Masovian_Voivodeship
Aberdeen_Airport	isConnectedTo	Riga_International_Airport
Aberdeen_Airport	isLocatedIn	Aberdeen
Birol_Aksancak	playsFor	İstanbul_Başakşehir_F.K.
Birol_Aksancak	hasGender	male
Birol_Aksancak	isAffiliatedTo	Turkey_national_under-21_football_team
Berkshire_County,_Massachusetts	isLocatedIn	Massachusetts
Toowoomba_Airport	isConnectedTo	Mount_Isa_Airport
Dick_Cheney	isAffiliatedTo	Republican_Party_(United_States)
Dick_Cheney	graduatedFrom	University_of_Wyoming
Dick_Cheney	livesIn	Jackson,_Wyoming
Dick_Cheney	wasBornIn	Lincoln,_Nebraska
Dick_Cheney	hasGender	male
Dick_Cheney	isPoliticianOf	United_States
Marco_Materazzi	isAffiliatedTo	Trapani_Calcio
Marco_Materazzi	hasGender	male
Marco_Materazzi	playsFor	Carpi_FC_1909
Marco_Materazzi	wasBornIn	Lecce
Charles_Akonnor	isAffiliatedTo	Alki_Larnaca_F.C.
Charles_Akonnor	playsFor	SpVgg_Unterhaching
Charles_Akonnor	wasBornIn	Accra
Charles_Akonnor	hasGender	male
Mircea_Bornescu	playsFor	FC_Progresul_București
Mircea_Bornescu	isAffiliatedTo	FC_Progresul_București
Mircea_Bornescu	hasGender	male
Mircea_Bornescu	wasBornIn	Bucharest
Karel_Kroupa,_Jr.	playsFor	FK_Drnovice
Karel_Kroupa,_Jr.	isAffiliatedTo	FC_Zbrojovka_Brno
Karel_Kroupa,_Jr.	hasGender	male
Colombia	dealsWith	Brazil
Colombia	imports	wordnet_fuel_114875077
Colombia	hasNeighbor	Panama
Colombia	isLocatedIn	Caribbean
Colombia	participatedIn	Mexican_Drug_War
Colombia	exports	wordnet_coffee_bean_107929351
Colombia	hasCapital	Bogotá
Frank_Sinatra	hasWonPrize	Golden_Globe_Award
Frank_Sinatra	playsFor	Zakho_FC
Frank_Sinatra	diedIn	West_Hollywood,_California
Frank_Sinatra	wasBornIn	Hoboken,_New_Jersey
Frank_Sinatra	hasGender	male
Frank_Sinatra	isMarriedTo	Mia_Farrow
Rhys_Weston	playsFor	Arsenal_F.C.
Rhys_Weston	isAffiliatedTo	Dundee_F.C.
Rhys_Weston	hasGender	male
Daniel_Ola	isAffiliatedTo	King_Faisal_Babes_FC
Daniel_Ola	playsFor	FC_Jūrmala
Daniel_Ola	wasBornIn	Accra
Daniel_Ola	hasGender	male
Bacha_Khan_International_Airport	isLocatedIn	Peshawar
Bacha_Khan_International_Airport	isConnectedTo	Sharjah_(emirate)
Carlos_Flores_(footballer)	playsFor	Deportivo_Pereira
Carlos_Flores_(footballer)	isAffiliatedTo	Deportivo_Pereira
Carlos_Flores_(footballer)	wasBornIn	Callao
Carlos_Flores_(footballer)	hasGender	male
Gmina_Łoniów	isLocatedIn	Świętokrzyskie_Voivodeship
Mehdi_Nafti	isAffiliatedTo	Birmingham_City_F.C.
Mehdi_Nafti	playsFor	Birmingham_City_F.C.
Mehdi_Nafti	wasBornIn	Toulouse
Mehdi_Nafti	hasGender	male
University_of_Ulsan	isLocatedIn	Ulsan
Jamie_Forrester	playsFor	Lincoln_United_F.C.
Jamie_Forrester	isAffiliatedTo	Southend_United_F.C.
Jamie_Forrester	hasGender	male
Jamie_Forrester	wasBornIn	Bradford
Pierre_Pflimlin	wasBornIn	Roubaix
Pierre_Pflimlin	isAffiliatedTo	Popular_Republican_Movement
Pierre_Pflimlin	hasChild	Edgar_Faure
Pierre_Pflimlin	isPoliticianOf	France
Pierre_Pflimlin	diedIn	Strasbourg
Pierre_Pflimlin	hasGender	male
Pierre_Pflimlin	graduatedFrom	University_of_Strasbourg
Pervez_Musharraf	hasWonPrize	Order_of_Abdulaziz_Al_Saud
Pervez_Musharraf	livesIn	London
Pervez_Musharraf	isAffiliatedTo	Pakistan_Muslim_League_(Q)
Pervez_Musharraf	hasGender	male
Pervez_Musharraf	wasBornIn	Delhi
Pervez_Musharraf	isPoliticianOf	Pakistan
Pervez_Musharraf	graduatedFrom	Forman_Christian_College
Andy_Serkis	wasBornIn	London
Andy_Serkis	hasGender	male
Aymaraes_Province	isLocatedIn	Apurímac_Region
University_of_Sheffield	isLocatedIn	England
Joseph_Cornell	playsFor	AGOVV_Apeldoorn
Joseph_Cornell	influences	Stan_Brakhage
Joseph_Cornell	wasBornIn	Nyack,_New_York
Joseph_Cornell	isCitizenOf	United_States
Leinster	isLocatedIn	Republic_of_Ireland
Velimir_Vidić	playsFor	HŠK_Zrinjski_Mostar
Velimir_Vidić	isAffiliatedTo	FC_Gossau
Velimir_Vidić	hasGender	male
University_of_Karachi	isLocatedIn	Pakistan
Wolfgang_Pauli	worksAt	University_of_Hamburg
Wolfgang_Pauli	hasWonPrize	Max_Planck_Medal
Wolfgang_Pauli	hasGender	male
Wolfgang_Pauli	hasAcademicAdvisor	Arnold_Sommerfeld
Wolfgang_Pauli	wasBornIn	Vienna
Wolfgang_Pauli	graduatedFrom	Ludwig_Maximilian_University_of_Munich
Wolfgang_Pauli	diedIn	Zürich
Wolfgang_Pauli	isCitizenOf	Switzerland
Benoit_Mandelbrot	hasGender	male
Benoit_Mandelbrot	hasWonPrize	Japan_Prize
Benoit_Mandelbrot	influences	Nassim_Nicholas_Taleb
Benoit_Mandelbrot	worksAt	IBM
Benoit_Mandelbrot	graduatedFrom	California_Institute_of_Technology
Benoit_Mandelbrot	wasBornIn	Warsaw
Benoit_Mandelbrot	diedIn	Cambridge,_Massachusetts
Gian_Piero_Gasperini	isAffiliatedTo	Inter_Milan
Gian_Piero_Gasperini	hasGender	male
Gian_Piero_Gasperini	playsFor	Juventus_F.C.
Steven_Brust	hasGender	male
Friedrich_Hirzebruch	hasWonPrize	Lomonosov_Gold_Medal
Friedrich_Hirzebruch	livesIn	Germany
Friedrich_Hirzebruch	graduatedFrom	ETH_Zurich
Friedrich_Hirzebruch	worksAt	University_of_Bonn
Friedrich_Hirzebruch	hasGender	male
Friedrich_Hirzebruch	diedIn	Bonn
Friedrich_Hirzebruch	isCitizenOf	Germany
Friedrich_Hirzebruch	wasBornIn	Hamm
Guimarães	isLocatedIn	Portugal
Mauro_Almeida	playsFor	PEC_Zwolle
Mauro_Almeida	isAffiliatedTo	ASKÖ_Pasching
Mauro_Almeida	hasGender	male
Berat_County	isLocatedIn	Berat
Pierre-Gilles_de_Gennes	hasWonPrize	Wolf_Prize
Pierre-Gilles_de_Gennes	playsFor	Forest_Green_Rovers_F.C.
Pierre-Gilles_de_Gennes	isCitizenOf	France
Pierre-Gilles_de_Gennes	worksAt	University_of_Paris-Sud
Pierre-Gilles_de_Gennes	graduatedFrom	École_Normale_Supérieure
Pierre-Gilles_de_Gennes	hasGender	male
Pierre-Gilles_de_Gennes	wasBornIn	Paris
Alexandria,_Virginia	isLocatedIn	Virginia
Aldo_Adorno	playsFor	Irapuato_FC
Aldo_Adorno	isAffiliatedTo	Apollon_Limassol
Aldo_Adorno	hasGender	male
Nelson_Gutiérrez	playsFor	Atlético_Nacional
Nelson_Gutiérrez	isAffiliatedTo	C.A._River_Plate
Nelson_Gutiérrez	wasBornIn	Montevideo
Nelson_Gutiérrez	hasGender	male
Nam_Định_Province	isLocatedIn	Vietnam
Nam_Định_Province	hasCapital	Nam_Định
Edcarlos	playsFor	Cruzeiro_Esporte_Clube
Edcarlos	isAffiliatedTo	São_Paulo_F.C.
Edcarlos	wasBornIn	Salvador,_Bahia
The_Women_(2008_film)	isLocatedIn	United_States
Aden	isLocatedIn	Arabian_Peninsula
Louis_Crayton	playsFor	D.C._United
Louis_Crayton	isAffiliatedTo	Grasshopper_Club_Zürich
Louis_Crayton	hasGender	male
Louis_Crayton	wasBornIn	Monrovia
Nyack,_New_York	isLocatedIn	United_States
Culver_City,_California	isLocatedIn	Los_Angeles_County,_California
Vladimir_Karalić	playsFor	FK_Rudar_Prijedor
Vladimir_Karalić	wasBornIn	Belgrade
Vladimir_Karalić	isAffiliatedTo	F.K._Sarajevo
Gmina_Rzewnie	isLocatedIn	Maków_County
Krabi_Province	isLocatedIn	Thailand
Shandong_Luneng_Taishan_F.C.	isLocatedIn	Jinan
Steve_Harper	isAffiliatedTo	Brighton_&_Hove_Albion_F.C.
Steve_Harper	playsFor	Huddersfield_Town_F.C.
Paulius_Paknys	playsFor	Kolejarz_Stróże
Paulius_Paknys	wasBornIn	Vilnius
Paulius_Paknys	isAffiliatedTo	Kolejarz_Stróże
Paulius_Paknys	hasGender	male
Windsor_County,_Vermont	isLocatedIn	Woodstock,_Vermont
Vadivelu	wasBornIn	Madurai
Vadivelu	hasWonPrize	Kalaimamani
Vadivelu	hasGender	male
Radical_Party_(France)	isLocatedIn	Paris
Simone_Inzaghi	playsFor	Novara_Calcio
Simone_Inzaghi	isAffiliatedTo	Atalanta_B.C.
Simone_Inzaghi	hasGender	male
Simone_Inzaghi	wasBornIn	Piacenza
Hélder_Postiga	isAffiliatedTo	Varzim_S.C.
Hélder_Postiga	wasBornIn	Vila_do_Conde
Hélder_Postiga	playsFor	Portugal_national_football_team
Hélder_Postiga	hasGender	male
Minsk_Region	isLocatedIn	Barysaw
Victor_Simões	isAffiliatedTo	Botafogo_de_Futebol_e_Regatas
Victor_Simões	playsFor	Tombense_Futebol_Clube
Victor_Simões	hasGender	male
Serhiy_Svystun	hasGender	male
Serhiy_Svystun	isAffiliatedTo	Diósgyőri_VTK
Serhiy_Svystun	playsFor	FC_CSKA_Kyiv
Serhiy_Svystun	wasBornIn	Dushanbe
Václav_Havel	hasWonPrize	Order_of_the_White_Eagle_(Poland)
Václav_Havel	graduatedFrom	Czech_Technical_University_in_Prague
Václav_Havel	isPoliticianOf	Czech_Republic
Václav_Havel	isAffiliatedTo	Independent_(politician)
Václav_Havel	hasChild	Václav_Klaus
Václav_Havel	diedIn	Prague
Clyde_Bruckman	wasBornIn	San_Jose,_California
Clyde_Bruckman	diedIn	Santa_Monica,_California
Linn_County,_Missouri	isLocatedIn	Missouri
Hong_Kong_International_Airport	isConnectedTo	Melbourne_Airport
Guayaquil	isLocatedIn	Guayas_Province
Conrad_A._Nervig	hasGender	male
Nando_Maria_Neves	hasGender	male
Nando_Maria_Neves	playsFor	Al-Sailiya_SC
Nando_Maria_Neves	isAffiliatedTo	Portimonense_S.C.
Nando_Maria_Neves	wasBornIn	Praia
Mickey_Rooney	actedIn	Journey_Back_to_Oz
Mickey_Rooney	wasBornIn	New_York_City
Mickey_Rooney	hasWonPrize	Emmy_Award
Mickey_Rooney	hasGender	male
Mickey_Rooney	diedIn	Los_Angeles
Mickey_Rooney	isMarriedTo	Ava_Gardner
Leipzig/Halle_Airport	isConnectedTo	Palma_de_Mallorca_Airport
Big_Boi	wasBornIn	Savannah,_Georgia
Big_Boi	hasGender	male
Club_Comunicaciones	isLocatedIn	Buenos_Aires
Barneveld	isLocatedIn	Gelderland
Adana_Province	hasCapital	Adana
Adana_Province	isLocatedIn	Mediterranean_Turkey
Curt_Siodmak	wasBornIn	Dresden
Curt_Siodmak	hasGender	male
Ramechhap_District	isLocatedIn	Janakpur_Zone
Allen_Ginsberg	influences	Gary_Forrester
Allen_Ginsberg	graduatedFrom	Montclair_State_University
Allen_Ginsberg	hasGender	male
